code,city,state,lat,lng
723120,GREER GREENV'L-SPARTANBRG AP,SC,34.9,-82.217
723124,GREENWOOD AIRPORT,SC,34.233,-82.15
723125,ANDERSON COUNTY AP,SC,34.5,-82.717
723139,HATTERAS BILLY MITCHELL AP,NC,35.233,-75.617
723140,CHARLOTTE DOUGLAS INTL ARPT,NC,35.217,-80.95
723143,SOUTHERN PINES AWOS,NC,35.233,-79.4
723144,RUTHERFORDTON,NC,35.433,-81.933
723145,HICKORY REGIONAL AP,NC,35.733,-81.383
723146,JEFFERSON,NC,36.433,-81.417
723147,GASTONIA MUNI ARPT,NC,35.183,-81.15
723148,MORGANTON/LENIOR AR,NC,35.817,-81.6
723150,ASHEVILLE REGIONAL ARPT,NC,35.433,-82.533
723156,ROWAN COUNTY ARPT,NC,35.65,-80.517
723165,NORTH WILKESBORO,NC,36.217,-81.083
723170,GREENSBORO PIEDMONT TRIAD INT,NC,36.1,-79.95
723174,BURLINGTON RGNL ARP,NC,36.05,-79.467
723177,MOUNT AIRY CO ARPT,NC,36.45,-80.55
723183,BRISTOL TRI CITY AIRPORT,TN,36.467,-82.4
723193,WINSTON-SALEM REYNOLDS AP,NC,36.133,-80.217
723194,MONROE AIRPORT,NC,35.017,-80.617
723200,ROME R B RUSSELL AP,GA,34.35,-85.167
723230,HUNTSVILLE INTL/JONES FIELD,AL,34.65,-86.783
723235,MUSCLE SHOALS REGIONAL AP,AL,34.75,-87.6
723240,CHATTANOOGA LOVELL FIELD AP,TN,35.033,-85.2
723246,OAK RIDGE,TN,36.017,-84.233
723260,KNOXVILLE MCGHEE TYSON AP,TN,35.817,-83.983
723265,CROSSVILLE MEMORIAL AP,TN,35.95,-85.083
723270,NASHVILLE INTERNATIONAL AP,TN,36.117,-86.683
723273,SMYRNA,TN,36,-86.517
723284,MILLINGTON MUNI ARP,TN,35.35,-89.867
723300,POPLAR BLUFF(AMOS),MO,36.767,-90.467
723306,COLUMBUS AFB,MS,33.65,-88.45
723307,GOLDEN TRI(AWOS),MS,33.45,-88.583
723320,TUPELO C D LEMONS ARPT,MS,34.267,-88.767
723340,MEMPHIS INTERNATIONAL AP,TN,35.067,-89.983
723345,MEMPHIS NAS,TN,35.35,-89.867
723346,JACKSON MCKELLAR-SIPES REGL A,TN,35.6,-88.917
723347,DYERSBURG MUNICIPAL AP,TN,36.017,-89.4
723403,LITTLE ROCK ADAMS FIELD,AR,34.75,-92.233
723405,LITTLE ROCK AFB,AR,34.917,-92.15
723406,WALNUT RIDGE (AWOS),AR,36.133,-90.917
723407,JONESBORO MUNI,AR,35.833,-90.65
723409,BLYTHEVILLE MUNI,AR,35.933,-89.817
723415,MEMORIAL FLD,AR,34.467,-93.1
723416,STUTTGART (AWOS),AR,34.6,-91.567
723417,PINE BLUFF FAA AP,AR,34.167,-91.933
723418,TEXARKANA WEBB FIELD,AR,33.45,-94
723419,EL DORADO GOODWIN FIELD,AR,33.217,-92.817
723424,MONTICELLO MUNI,AR,33.567,-91.717
723429,RUSSELLVILLE MUNI A,AR,35.25,-93.083
723434,SPRINGDALE MUNI,AR,36.183,-94.117
723435,MENA INTERMTN MUNI,AR,34.55,-94.217
723436,FAYETTEVILLE/SPRING,AR,36.267,-94.3
723439,BAXTER CO RGNL APT,AR,36.367,-92.467
723440,FORT SMITH REGIONAL AP,AR,35.333,-94.367
723443,SILOAM SPRING(AWOS),AR,36.183,-94.483
723444,BENTONVILLE (AWOS),AR,36.35,-94.217
723445,FAYETTEVILLE DRAKE FIELD,AR,36,-94.167
723446,HARRISON FAA AP,AR,36.267,-93.15
723447,FLIPPIN (AWOS),AR,36.3,-92.467
723448,BATESVILLE (AWOS),AR,35.733,-91.65
723449,ROGERS (AWOS),AR,36.367,-94.1
723484,WEST PLAINS - ASOS,MO,36.883,-91.9
723489,CAPE GIRARDEAU MUNICIPAL AP,MO,37.233,-89.567
723495,JOPLIN MUNICIPAL AP,MO,37.15,-94.5
723510,WICHITA FALLS MUNICIPAL ARPT,TX,33.983,-98.5
723520,ALTUS AFB,OK,34.65,-99.267
723525,HOBART MUNICIPAL AP,OK,35,-99.05
723526,CLINTON-SHERMAN,OK,35.333,-99.2
723527,GAGE AIRPORT,OK,36.3,-99.767
723528,FREDERICK MUNI,OK,34.333,-98.983
723529,ARDMORE,OK,34.15,-97.117
723530,OKLAHOMA CITY WILL ROGERS WOR,OK,35.383,-97.6
723535,VANCE AFB,OK,36.333,-97.917
723536,ENID WOODRING RGNL,OK,36.367,-97.783
723537,GUTHRIE,OK,35.85,-97.4
723540,OKLAHOMA CITY TINKER AFB,OK,35.417,-97.383
723544,OKLAHOMA CITY/WILEY,OK,35.533,-97.65
723545,STILLWATER RGNL,OK,36.15,-97.083
723546,PONCA CITY MUNICIPAL AP [SGP - ARM],OK,36.61,-97.49
723550,FORT SILL POST FIELD AF,OK,34.65,-98.4
723556,MUSKOGEE/DAVIS FLD,OK,35.65,-95.367
723560,TULSA INTERNATIONAL AIRPORT,OK,36.2,-95.883
723564,TULSA/LLOYD JONES,OK,36.033,-95.983
723565,BARTLESVILLE/PHILLI,OK,36.767,-96.017
723566,MCALESTER MUNICIPAL AP,OK,34.9,-95.783
723575,LAWTON MUNICIPAL,OK,34.567,-98.417
723600,CLAYTON MUNICIPAL AIRPARK,NM,36.45,-103.15
723604,CHILDRESS MUNICIPAL AP,TX,34.433,-100.283
723627,GALLUP SEN CLARKE FLD,NM,35.517,-108.783
723630,AMARILLO INTERNATIONAL AP [CANYON - UT],TX,34.99,-101.9
723635,BORGER/HUTCHINSON,TX,35.7,-101.4
723647,ALBUQUERQUE DOUBLE,NM,35.133,-106.783
723650,ALBUQUERQUE INTL ARPT [ISIS],NM,35.04,-106.62
723654,LOS ALAMOS,NM,35.883,-106.283
723656,SATA FE COUNTY MUNICIPAL AP,NM,35.617,-106.083
